Symbol,YTW %,Price %,Coupon %,Maturity date,Outstanding amt,Face value,S&P rating,Fitch rating,Issuer
CCCBCoca-Cola Company 2.875% 05-MAY-2041D,0.0529,0.7514,0.02875,2041-05-05 00:00:00,750 M USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
"KKO3669978Coca-Cola Enterprises, Inc. /Old/ 6.75% 15-JAN-2038D",0.0521,1.1324,0.0675,2038-01-15 00:00:00,88.81 M USD,"1,000.00 USD",A+,—,"Coca-Cola Enterprises, Inc. /Old/"
KO4969566Coca-Cola Company 4.125% 25-MAR-2040D,0.0519,0.8964,0.04125,2040-03-25 00:00:00,218.35 M USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
"KKO3669974Coca-Cola Enterprises, Inc. /Old/ 6.7% 15-OCT-2036D",0.0497,1.1376,0.067,2036-10-15 00:00:00,120.25 M USD,"1,000.00 USD",A+,—,"Coca-Cola Enterprises, Inc. /Old/"
KO5807225Coca-Cola Company 5.0% 13-MAY-2034D,0.0472,1.0172,0.05,2034-05-13 00:00:00,1 B USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
KO5868478Coca-Cola Company 4.65% 14-AUG-2034D,0.0472,0.9952,0.0465,2034-08-14 00:00:00,750 M USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
KO5141472Coca-Cola Company 2.0% 05-MAR-2031D,0.0453,0.8951,0.02,2031-03-05 00:00:00,750 M USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
KO4982991Coca-Cola Company 1.65% 01-JUN-2030D,0.0452,0.8986,0.0165,2030-06-01 00:00:00,1.5 B USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
US191216DP2Coca-Cola Company 2.25% 05-JAN-2032,0.0452,0.8908,0.0225,2032-01-05 00:00:00,2 B USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
US191216DE7Coca-Cola Company 1.375% 15-MAR-2031,0.0452,0.8688,0.01375,2031-03-15 00:00:00,1.3 B USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
KO4969570Coca-Cola Company 3.45% 25-MAR-2030D,0.0441,0.9674,0.0345,2030-03-25 00:00:00,1.25 B USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
"KKO3669980Coca-Cola Enterprises, Inc. /Old/ 6.75% 15-SEP-2028D",0.044,1.0483,0.0675,2028-09-15 00:00:00,131.35 M USD,"1,000.00 USD",A+,—,"Coca-Cola Enterprises, Inc. /Old/"
XS287415729Coca-Cola Company 3.75% 15-AUG-2053D,0.0439,0.8973,0.0375,2053-08-15 00:00:00,500 M EUR,"1,000.00 EUR",A+,—,The Coca-Cola Co.
KO4880709Coca-Cola Company 2.125% 06-SEP-2029D,0.0437,0.9344,0.02125,2029-09-06 00:00:00,1 B USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
US191216DD9Coca-Cola Company 1.0% 15-MAR-2028,0.0429,0.9471,0.01,2028-03-15 00:00:00,1.3 B USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
KO5141475Coca-Cola Company 1.5% 05-MAR-2028D,0.0425,0.9566,0.015,2028-03-05 00:00:00,750 M USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
XS281594869Coca-Cola Company 3.5% 14-MAY-2044D,0.0425,0.9053,0.035,2044-05-14 00:00:00,500 M EUR,"1,000.00 EUR",A+,—,The Coca-Cola Co.
KO4982990Coca-Cola Company 1.45% 01-JUN-2027D,0.0423,0.9759,0.0145,2027-06-01 00:00:00,1.5 B USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
CCCMCoca-Cola Company 2.9% 25-MAY-2027,0.0418,0.9891,0.029,2027-05-25 00:00:00,500 M USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
"KKO3669973Coca-Cola Enterprises, Inc. /Old/ 7.0% 01-OCT-2026D",0.0411,1.0064,0.07,2026-10-01 00:00:00,100.31 M USD,"1,000.00 USD",A+,—,"Coca-Cola Enterprises, Inc. /Old/"
XS230786402Coca-Cola Company 1.0% 09-MAR-2041,0.041,0.6629,0.01,2041-03-09 00:00:00,650 M EUR,"1,000.00 EUR",A+,—,The Coca-Cola Co.
KO4969568Coca-Cola Company 3.375% 25-MAR-2027D,0.0409,0.9951,0.03375,2027-03-25 00:00:00,1 B USD,"1,000.00 USD",A+,—,The Coca-Cola Co.
XS223315534Coca-Cola Company 0.8% 15-MAR-2040,0.0402,0.6659,0.008,2040-03-15 00:00:00,850 M EUR,"1,000.00 EUR",A+,—,The Coca-Cola Co.
XS287415494Coca-Cola Company 3.375% 15-AUG-2037D,0.0381,0.9597,0.03375,2037-08-15 00:00:00,500 M EUR,"1,000.00 EUR",A+,—,The Coca-Cola Co.
XS148564361Coca-Cola Company 1.1% 02-SEP-2036,0.0374,0.78,0.011,2036-09-02 00:00:00,500 M EUR,"1,000.00 EUR",A+,—,The Coca-Cola Co.
XS233939935Coca-Cola Company 0.95% 06-MAY-2036,0.0367,0.7789,0.0095,2036-05-06 00:00:00,500 M EUR,"1,000.00 EUR",A+,—,The Coca-Cola Co.
XS119783313Coca-Cola Company 1.625% 09-MAR-2035,0.0361,0.8544,0.01625,2035-03-09 00:00:00,1.5 B EUR,"1,000.00 EUR",A+,—,The Coca-Cola Co.
XS223315526Coca-Cola Company 0.375% 15-MAR-2033,0.0342,0.8209,0.00375,2033-03-15 00:00:00,750 M EUR,"1,000.00 EUR",A+,—,The Coca-Cola Co.
XS230786399Coca-Cola Company 0.5% 09-MAR-2033,0.0341,0.8292,0.005,2033-03-09 00:00:00,650 M EUR,"1,000.00 EUR",A+,—,The Coca-Cola Co.
XS281829050Coca-Cola Company 3.125% 14-MAY-2032D,0.0324,0.9917,0.03125,2032-05-14 00:00:00,500 M EUR,"1,000.00 EUR",A+,—,The Coca-Cola Co.
XS195502498Coca-Cola Company 1.25% 08-MAR-2031,0.0322,0.916,0.0125,2031-03-08 00:00:00,750 M EUR,"1,000.00 EUR",A+,—,The Coca-Cola Co.
XS233939897Coca-Cola Company 0.4% 06-MAY-2030,0.0317,0.9018,0.004,2030-05-06 00:00:00,650 M EUR,"1,000.00 EUR",A+,—,The Coca-Cola Co.
XS223315453Coca-Cola Company 0.125% 15-MAR-2029,0.0298,0.9275,0.00125,2029-03-15 00:00:00,1 B EUR,"1,000.00 EUR",A+,—,The Coca-Cola Co.
XS230786364Coca-Cola Company 0.125% 09-MAR-2029,0.0296,0.9285,0.00125,2029-03-09 00:00:00,700 M EUR,"1,000.00 EUR",A+,—,The Coca-Cola Co.
XS195502471Coca-Cola Company 0.75% 22-SEP-2026,0.0277,0.996,0.0075,2026-09-22 00:00:00,412.93 M EUR,"1,000.00 EUR",A+,—,The Coca-Cola Co.
XS119783305Coca-Cola Company 1.125% 09-MAR-2027,0.0276,0.9894,0.01125,2027-03-09 00:00:00,1.5 B EUR,"1,000.00 EUR",A+,—,The Coca-Cola Co.
CCCECoca-Cola Company 1.875% 22-SEP-2026,0.0276,0.9982,0.01875,2026-09-22 00:00:00,856.99 M EUR,"1,000.00 EUR",A+,—,The Coca-Cola Co.
COC152Coca-Cola Company 1.0% 02-OCT-2028D,0.0043,1.0125,0.01,2028-10-02 00:00:00,575 M CHF,"5,000.00 CHF",A+,—,The Coca-Cola Co.
